,tweet,label,lat,long
0,@jackshope They are airlifting our crew into Canmore via helicopter just to get communications set up! I need to keep listening to freq 24/7,off-topic,34.08232051379385,-117.33585300113798
1,"#Skywire was boring, what was exciting was when Rodman went off the cliff &amp; KO'd himself",off-topic,34.122634947232626,-117.24359225462594
2,@WBrettWilson @TarzanDan whenever works for you! Thanks looking forward to it :),off-topic,34.09219734873552,-117.26669561236234
3,@joshclassenCTV you are dead wrong sir there is a #stormbrewing now outside my window #yegstorm #thunderstorm http://t.co/jJXgdPDpOu,on-topic,34.049241449607635,-117.3782546487863
4,"I'm at Canada Olympic Park (Calgary, AB) http://t.co/rH7AfJKaRp",off-topic,33.704540018805226,-117.19210080205036
5,@Krywcun @krywcun @CC_Butterfield have heard people are posting on Kijiji,off-topic,34.04721451871655,-117.45183160484389
6,@LisaTrampolina @JenGotClassNass I never lose I'm to much of a soar loser,off-topic,34.03405428785384,-117.74943656366457
7,"Yeah, yeah, so the portal will be open. I get it, said Sacha. Then what?",off-topic,34.09401965883288,-117.62429590516692
8,lift up your eyes discouraged one,off-topic,34.09647715074118,-117.79163571990696
9,@jmslat it's never too early for spice girls,off-topic,33.78932310204434,-117.75601778648867
10,"Jogan #heard the alien voices outside and tried to rise, fighting the pain. She nudged him back down. He puffed, spent fr",off-topic,33.805912773225636,-117.54546226438289
11,"@EricMurphyGroup No he's not anything special. IMO, it's a bit early to give up &amp; no one more critical of our organizational depth than me",off-topic,34.139072836641446,-117.86623029254916
12,Breaking: @nenshi Stampede make not look same as 2012 but show WILL GO ON#yycflood  #abflood http://t.co/ZPxB2AwReB,on-topic,33.848954772271306,-117.84178617820817
13,@jody_macpherson That's what Calgary is all about : heart and soul #AlbertaStrong,off-topic,33.88684872393205,-117.69060347950865
14,A sphere? Winter asked. #Sounds a little crazy.,off-topic,34.0833089771739,-117.59745669055282
15,"http://t.co/pfYIjjz3Fw those arms, that face that smile..... this guy is absolutely perfect",off-topic,33.87003170499365,-117.63099429475477
16,"@Cam_Wally true, but we don't want him anyway. They just did us a favour!",off-topic,34.009147830852285,-117.46759625949522
17,The boys working hard!! #family #friendsforlife #proud http://t.co/NtycxPD36W,off-topic,33.992030431212676,-117.33335294544825
18,Fuck man I burnt my egg,off-topic,33.809971320752645,-117.7343501025378
19,"@EricFrancis Seems harsh to say it like that, but I agree. Kipper sulked for the last couple years.",off-topic,33.78732325834956,-117.6359888666761
20,@76for25 no shit ! It's real easy to tweet the score or say the team wins! I love when a player scores an they are like  Boston scored,off-topic,33.72452527104139,-117.6073553945397
21,Wow 24c and its only 8.15am. Happy Canada day everyone. #albertasummerishere,off-topic,33.77801046987044,-117.70212183305696
22,#yycflood What a trooper this guy is!! Jesse @wopizza dropping off pizzas for city workers! #yycfood http://t.co/P1NAxUEoR9,on-topic,34.140271386399895,-117.33387839159971
23,"Props to @calgarystampede for sending volunteers to our @YMCA_Calgary and partners evacuation centre. #yyc comes together, always!",on-topic,33.79571862784093,-117.81264586708387
24,"see the first hints of a budding romance when it was happening right under his nose. Ben would deny it, of course, but",off-topic,33.8868512860931,-117.60804628490254
25,If you need a place to stay tonight get in touch. #flooding #calgary #yyc #staysafe @ Riverwalk - East http://t.co/m4M1ux9xFH,on-topic,34.0784393862834,-117.37573346487736
26,"Going on the air, 106.5 Mountain FM, in 10min to pump up the Bow Valley about the Flood Relief http://t.co/9tiNGmVFsf",on-topic,34.13215941723273,-117.17909638553164
27,Sat midnight: Temp 17.3 C; Wind SE 13 km/h; Humidity 67%; Press 101.7 kPa / falling; Health Idx 2.4.,off-topic,33.95447770522239,-117.27887596751202
28,Finally made it!  Let the festivities begin! (@ Calgary International Airport (YYC) w/ 17 others) http://t.co/pjyoDcqbKb,off-topic,33.94394851001271,-117.32481195635532
29,RT @GreenMonster03: It's going to be a fluke goal that wins this friggin game!!!! C'mon #BRUINSSSSSSSSSSSSSSSSSSSS,off-topic,33.81667163600307,-117.92745743073678
30,@GlobalCalgary: WATCH IN FULL: Alberta Floods 2013. A special edition of the Early News with @Linda_Olsen. #YYC #abflood when ?,on-topic,34.03033918095879,-117.31538768576272
31,"@Xtraspyc that's the plan, I believe it will be a drinking night",off-topic,33.94844859646024,-117.60700404317362
32,"Hard to tell, but that's the same sign as earlier. @ Stanley Park http://t.co/YhYd24QQmm",off-topic,33.97048001238401,-117.39852230575586
33,Shaw have opened the Shaw Go WiFi network for all citizens in Southern Alberta  please connect to the ShawGo network #yycflood,on-topic,34.01493150511582,-117.30600021959566
34,"@ZBettess Life! :) #ETAD studio in Sask, moving to new home, getting a dog, trading vehicle, seeing family, colour run race in NY! Lots! :)",off-topic,33.7014444001191,-117.89590061629687
35,The guards did their best to look intimidating.,off-topic,33.75630195154147,-117.18880399797659
36,by and see if you received my orders yet.,off-topic,34.091528177071595,-117.2295126409369
37,"I'm at Morraine Lake (Improvement District No. 9, Alberta) [pic]: http://t.co/ZDiMF6NInz",off-topic,33.87765981956235,-117.68358886286128
38,@VerandaInterior whoa.. Tough call. Narrow your wants down a bit!,off-topic,34.12396915220275,-118.0223444843967
39,"Loool, can i go to someone house tonight ... Dm me. House is fucked",off-topic,34.06233238575175,-117.43077450914669
40,"@destructoid I didn't see that, dang!",off-topic,33.95047132898863,-117.36633175783996
41,Happy birthday @Shaanell i love you hope you had a wonderful birthday!!,off-topic,33.95070922453843,-117.40473391863188
42,The way 'Days Like That-Sugar Jones' just spoke into my life though.,off-topic,34.16013603409791,-117.7778202574609
43,"I'm at Sundance Lake &amp; Recreation Centre (Division No. 6, AB) w/ 3 others http://t.co/G3odHhiTR1",off-topic,33.72074382067479,-117.14794463607603
44,It hits home when it's a city you've spent a lot of time in. Couldn't imagine it bring my hometown,off-topic,34.03141974678976,-117.28342951897078
45,@medhatpolice Are you patrolling the evac areas? Worried about shenanigans for those abandoned homes already...,on-topic,34.15687002265832,-117.28062609599341
46,"Today, one of the coolest hikes I've ever done. Rocky hills along a blue-green river...in a http://t.co/1C1KfhrG4D",off-topic,34.12657593397106,-117.9213600740031
47,@sit_walk @hollya1m1 dj craicmonkey's in the house.,off-topic,34.15163375271355,-117.55263051218925
48,But she found only decomposing wood and fabric-not much of a threat as far as she could tell.,off-topic,34.14257871755461,-117.23456703040334
49,Canada Day events to act as celebration of Calgarys resiliency: Calgarians are invited to celebrate Canada Day... http://t.co/Ouoaq9B4Oi,off-topic,34.02905326424012,-117.47138177731445
50,hit #them the speeder threatened to flip over.,off-topic,34.10893626604294,-117.75148713765523
51,@calgaryherald: Trans-Canada to Banff may reopen by weekend #chlive http://t.co/yXdPERzYDE this would help for a wedding on Saturday!,on-topic,33.69458580577694,-117.27397150253819
52,"@bcbeautygirl yes we are okay. I've taken in a friend, her 87 year old mom &amp; pets as they were evacuated. Watching the news &amp; staying dry",off-topic,33.81748937427286,-117.54655867050332
53,Strange timing to leave town hours before the evacuation call! #yycflood,on-topic,34.09517027356363,-117.56918662161456
54,AND IT'S HALF FLAT WHAT THE FUCK I JUST OPENED IT FUCK YOU KOKANEE EVEN THO I LOVE YOU,off-topic,33.943121770396004,-117.99363508569405
55,Edmonton Public appoints new superintendent: Edmonton Public Schools has appointed Darrel Robertson as the new... http://t.co/OFQHjyxnrJ,off-topic,34.08502929022763,-117.34590462096682
56,@WeeMadAggie not at all. Wearing proper attire for the activity is an sign of good sense/intelligence.,off-topic,34.13367869178033,-117.27811053388831
57,"Soooo,  29 degrees Monday, I need 35,000 Litres of water to fill the pool - does filling pool apply to outside tap ban? hope lifted by then!",off-topic,34.02346185313892,-117.22282582412645
58,"s knifed their way through the nasal tissue. Khedryn's eyes watered. Blood leaked around #the feeders, out the human's no",off-topic,33.922546028060275,-117.19132472772546
59,@TownOfHighRiver who do we contact regarding reptiles that have been rescued from homes?,on-topic,34.05853166408061,-117.33724629457843
60,Need a stress relief sweat? http://t.co/fkKK50QfD8 for a great 200-500 too challenge. You decide what you are up to! http://t.co/Ir8UGIKIh6,off-topic,33.760733927480466,-117.33958590437122
61,Evans grade 4 passing present. #dadoftheyear http://t.co/FvqkTAgUSJ,off-topic,34.14620244716241,-117.14986363386636
62,"I'm at Princess Auto (Edmonton, AB) http://t.co/PX0BPH06Dp",off-topic,33.900261807104414,-117.94687288653508
63,Guys. There's a seven eleven 2m from here. Someone go with me.,off-topic,33.98911156485751,-117.40056940835282
64,POS Service Technician &amp;acirc; One Year Contract (Mat Leave)!Toronto #job #hiring http://t.co/3oZPvtswjQ,off-topic,33.97722083931418,-117.21116230085175
65,@beautifulgenny great news! How do we make appointments. ?,off-topic,33.865182056121505,-117.34087589313927
66,Burping my nephew and he is head butting me wtf,off-topic,34.15982973679881,-117.86118928029613
