text,lat,long,user_name,location,user_location
"Before/After the Getty Fire. 

This is 1510 Tigertail Road. 

My condolences for the family who lives here. 

Court… https://t.co/lYQd1LYZFD",34.0963502054011,-118.50220748326751,abc7robhayes,"Brentwood, Los Angeles",Los Angeles
Up at Mount St. Mary’s University. The wind is still gentle and cold. Helicopters are flying to the south. There’s… https://t.co/OPxs7Vii7u,34.08396202249944,-118.48168318584761,jintakhan,Mount St. Mary's College Campus Center,"Los Angeles, CA"
"los angeles renters, i just asked my leasing office when they last cleaned the roof/gutters at my complex &amp; the man… https://t.co/SVkK4gRnl4",34.0706768765475,-118.48631417652142,runawaykat,"Brentwood, Los Angeles",santa monica . maine . boston
Horrible situation on #tigertail right now in #Brentwood - have counted 6 homes on fire and there’s likely more. Th… https://t.co/kiOYl3Q8oN,34.07648455000092,-118.48855366158007,abc7JoshHaskell,Crestwood Hills Recreation Center,"Los Angeles, CA"
Good morning from near the fire lines. We are covering the latest on the firefight #GettyFire that’s burned 500+ ac… https://t.co/6dbR28atrh,34.08152627010323,-118.50666761398314,ChristinaKTLA,Mandeville Canyon,Los Angeles 
Fire spotted west of 405 near Sepulveda pass #LAFD #gettyfires https://t.co/2eKdPJxzEk,34.06426744925694,-118.46906325990055,jamiexfrancis,"Brentwood, Los Angeles",
It’s just fire https://t.co/3XjNCJ4NyJ,34.06424548994195,-118.43316749230708,_moebandz,Wilshire Regent,90049
@tatn Yup... mega fire. You probably know more about around here than me since I’ve been indoor 😬,34.06558382266124,-118.4108739908657,JQT_CoinLinked,Rooftop Bar @ The Peninsula,Ride a unicorn🦄 to the moon🌖
"Never been so close to a major fire before. Started around 24 hours ago and since I woke up yesterday, the air is h… https://t.co/9v5jGeGHh3",34.05561215905317,-118.426096591197,CarinaDangas,"10474 Santa Monica Blvd. Los Angeles, CA","Los Angeles, USA"
"California is on fire, again. In multiple places at once. Again. https://t.co/UQlJVzt3cI",34.143371086924496,-118.49202057879603,jsrphotos,"Encino, Los Angeles",Los Angeles
"Getty fire as seen from the beach. 
.
#lafire #gettyfire #smoke #lafd #LA #california #wildfire @ Pacific Palisades… https://t.co/oUCO7cPdNH",33.91499995307877,-118.65197709530753,TravelTalesPod,"Los Angeles, CA","Los Angeles, California"
"Seems apropos today with the Getty fire bearing down on us....standing by, ready to evacuate as we are next in line… https://t.co/Blj1PtyDPD",33.83983551835258,-118.48881887326469,prettyfunnymom,"Los Angeles, CA",Los Angeles
"Another Fire saying im in Evacuation Zone because of the Wind😱🥵🔥

#gettyfire #pacificpalisades https://t.co/GkOdJWlXHd",34.04789473501829,-118.52655887603758,bobbyronge,Pacific Palisades,"Los angeles, CA"
"Another Fire saying im in Evacuation Zone because of the Wind😱🥵🔥

#gettyfire #pacificpalisades https://t.co/Deq0GG8YT6",34.04789473501829,-118.52655887603758,bobbyronge,Pacific Palisades,"Los angeles, CA"
It’s scary out here #fire https://t.co/z6novDZqd5,34.13819604327926,-118.45275401761462,codyftnoel,"Sherman Oaks, Los Angeles",
A brush fire broke out near my house so I went outside and doused the vacant lot next door with my hose. We love Sm… https://t.co/W7JzUQrAKd,34.16845728815522,-118.44822183236614,only1madi,"Sherman Oaks, Los Angeles","Los Angeles, CA"
I went outside to get our mail and I thought our neighbor’s house was on fire! 😬 #BrushFire #SepulvedaBasin https://t.co/JM59opjEbA,34.13482278017392,-118.45056523142841,gboi,"Sherman Oaks, Los Angeles","Sherman Oaks, CA."
Sepulveda basin fire. https://t.co/1mTpCs5X4t,34.15478902357864,-118.41589514744513,badhatharry,"Sherman Oaks, Los Angeles",
