text,lat,long,relevant
@jackshope They are airlifting our crew into Canmore via helicopter just to get communications set up! I need to keep listening to freq 24/7,34.08232051379385,-117.33585300113798,0
"#Skywire was boring, what was exciting was when Rodman went off the cliff &amp; KO'd himself",34.122634947232626,-117.24359225462594,0
@WBrettWilson @TarzanDan whenever works for you! Thanks looking forward to it :),34.09219734873552,-117.26669561236234,0
@joshclassenCTV you are dead wrong sir there is a #stormbrewing now outside my window #yegstorm #thunderstorm http://t.co/jJXgdPDpOu,34.049241449607635,-117.3782546487863,0
"I'm at Canada Olympic Park (Calgary, AB) http://t.co/rH7AfJKaRp",33.704540018805226,-117.19210080205036,0
@Krywcun @krywcun @CC_Butterfield have heard people are posting on Kijiji,34.04721451871655,-117.45183160484389,0
@LisaTrampolina @JenGotClassNass I never lose I'm to much of a soar loser,34.03405428785384,-117.74943656366457,0
"Yeah, yeah, so the portal will be open. I get it, said Sacha. Then what?",34.09401965883288,-117.62429590516693,0
lift up your eyes discouraged one,34.09647715074118,-117.79163571990696,0
@jmslat it's never too early for spice girls,33.78932310204434,-117.75601778648868,0
"Jogan #heard the alien voices outside and tried to rise, fighting the pain. She nudged him back down. He puffed, spent fr",33.80591277322564,-117.54546226438288,0
"@EricMurphyGroup No he's not anything special. IMO, it's a bit early to give up &amp; no one more critical of our organizational depth than me",34.139072836641446,-117.86623029254915,1
Breaking: @nenshi Stampede make not look same as 2012 but show WILL GO ON#yycflood  #abflood http://t.co/ZPxB2AwReB,33.848954772271306,-117.84178617820817,0
@jody_macpherson That's what Calgary is all about : heart and soul #AlbertaStrong,33.886848723932054,-117.69060347950865,0
A sphere? Winter asked. #Sounds a little crazy.,34.0833089771739,-117.5974566905528,0
"http://t.co/pfYIjjz3Fw those arms, that face that smile..... this guy is absolutely perfect",33.87003170499365,-117.63099429475477,0
"@Cam_Wally true, but we don't want him anyway. They just did us a favour!",34.009147830852285,-117.46759625949522,0
